tape,day,ts,i,dir,entry,risk,res,r,wick_delta,wick_ratio,bar_delta,bar_ratio,wick_vol_share,vol_z,cvd_div
2023-26,2023-07-03,2023-07-03 09:32:00,177497,1,15367.0,17.0,STOP,-1.0441176470588236,-50.0,-0.022104332449160036,12.0,0.004796163069544364,0.9040767386091128,3.304933623935011,
2023-26,2023-07-03,2023-07-03 10:00:00,177525,1,15383.25,20.75,STOP,-1.036144578313253,-44.0,-0.0421455938697318,181.0,0.10504933255948927,0.6059199071387116,1.2575724399678856,
2023-26,2023-07-05,2023-07-05 10:10:00,179827,-1,15373.75,8.0,STOP,-1.09375,2.0,0.002421307506053269,196.0,0.12342569269521411,0.5201511335012594,1.0841070453304205,
2023-26,2023-07-06,2023-07-06 09:30:00,181167,1,15203.75,24.0,STOP,-1.03125,-398.0,-0.10832879695155144,-132.0,-0.01544220870379036,0.42980814225549835,7.22605201945443,
2023-26,2023-07-07,2023-07-07 09:32:00,182548,1,15233.5,30.75,STOP,-1.024390243902439,-53.0,-0.024801123069723912,153.0,0.0398749022673964,0.5569455303622621,3.3948241539482416,
2023-26,2023-07-07,2023-07-07 10:02:00,182578,1,15265.0,10.75,STOP,-1.069767441860465,-229.0,-0.20140721196130168,-163.0,-0.09193457416807671,0.6412859560067682,1.0502310152825494,
2023-26,2023-07-07,2023-07-07 10:05:00,182581,1,15271.0,11.75,STOP,-1.0638297872340425,55.0,0.02702702702702703,95.0,0.044206607724523034,0.9469520707305723,1.2749925838030258,
2023-26,2023-07-07,2023-07-07 10:08:00,182584,1,15267.25,9.0,STOP,-1.0833333333333333,80.0,0.064,104.0,0.07669616519174041,0.9218289085545722,0.892193308550186,
2023-26,2023-07-11,2023-07-11 09:30:00,185306,-1,15197.0,16.25,STOP,-1.0461538461538462,-241.0,-0.07090320682553693,46.0,0.009248090068355449,0.6833534378769602,8.720960813535548,
2023-26,2023-07-12,2023-07-12 09:52:00,186707,1,15453.25,21.25,STOP,-1.035294117647059,-88.0,-0.03096410978184377,0.0,0.0,0.8820608317815022,1.2287860874871286,
2023-26,2023-07-12,2023-07-12 10:04:00,186719,1,15466.25,11.5,STOP,-1.065217391304348,-26.0,-0.07262569832402235,72.0,0.05187319884726225,0.2579250720461095,0.6457916530963569,
2023-26,2023-07-14,2023-07-14 09:58:00,189473,1,15800.75,9.5,STOP,-1.0789473684210527,-4.0,-0.004140786749482402,70.0,0.049575070821529746,0.6841359773371105,0.6905151967136954,
2023-26,2023-07-14,2023-07-14 10:06:00,189481,1,15807.25,17.0,STOP,-1.0441176470588236,-50.0,-0.038580246913580245,126.0,0.06548856548856549,0.6735966735966736,0.9255339619010967,
2023-26,2023-07-17,2023-07-17 10:17:00,190872,1,15753.0,8.5,STOP,-1.088235294117647,-177.0,-0.16434540389972144,-137.0,-0.11699402220324509,0.9197267292912041,0.7460737153961327,
2023-26,2023-07-18,2023-07-18 09:42:00,192217,-1,15775.25,12.75,TARGET,2.9411764705882355,-406.0,-0.21123829344432882,-82.0,-0.02130977130977131,0.4994802494802495,1.5450712708291507,
2023-26,2023-07-18,2023-07-18 10:05:00,192240,1,15769.5,11.75,STOP,-1.0638297872340425,-247.0,-0.21839080459770116,-41.0,-0.01763440860215054,0.4864516129032258,1.0595151294203426,
2023-26,2023-07-18,2023-07-18 10:19:00,192254,1,15777.75,11.75,STOP,-1.0638297872340425,-139.0,-0.16527942925089179,109.0,0.06782825140012445,0.523335407591786,1.0029019877055576,
2023-26,2023-07-18,2023-07-18 10:29:00,192264,-1,15768.25,8.5,STOP,-1.088235294117647,-145.0,-0.11759935117599352,-84.0,-0.05121951219512195,0.7518292682926829,1.24355474673946,
2023-26,2023-07-21,2023-07-21 10:21:00,196396,1,15633.5,15.0,STOP,-1.05,-79.0,-0.09070034443168772,120.0,0.07761966364812418,0.5633893919793014,0.6799190781950919,
2023-26,2023-07-24,2023-07-24 09:39:00,197734,1,15591.5,17.25,STOP,-1.0434782608695652,-43.0,-0.014977359804946012,19.0,0.004823559279004823,0.7288651942117289,2.0897660353334393,
2023-26,2023-07-24,2023-07-24 09:43:00,197738,1,15601.5,15.5,STOP,-1.0483870967741935,-71.0,-0.04496516782773907,-23.0,-0.011960478419136765,0.8211128445137805,0.8416307416241767,
2023-26,2023-07-25,2023-07-25 10:14:00,199148,1,15654.25,9.5,STOP,-1.0789473684210527,-112.0,-0.11177644710578842,-73.0,-0.06691109074243813,0.918423464711274,0.6466909694437035,
2023-26,2023-07-26,2023-07-26 09:42:00,200496,-1,15597.25,13.0,STOP,-1.0576923076923077,-204.0,-0.07533234859675036,-62.0,-0.017765042979942695,0.7759312320916906,1.3292199878123097,
2023-26,2023-07-27,2023-07-27 09:31:00,201865,1,15834.0,11.5,TARGET,2.9347826086956523,-111.0,-0.05318639195016771,-54.0,-0.011946902654867256,0.46172566371681417,5.047459519821329,
2023-26,2023-07-28,2023-07-28 10:19:00,203293,1,15819.75,17.5,STOP,-1.042857142857143,-168.0,-0.13186813186813187,-6.0,-0.003601440576230492,0.7647058823529411,0.9225827887916713,
2023-26,2023-07-31,2023-07-31 10:29:00,204683,1,15861.0,8.75,STOP,-1.0857142857142856,-42.0,-0.07835820895522388,70.0,0.06986027944111776,0.5349301397205589,0.9161142857142857,
2023-26,2023-09-01,2023-09-01 09:34:00,237746,-1,15617.75,28.0,TARGET,2.9732142857142856,-255.0,-0.08559919436052367,50.0,0.012966804979253113,0.7725622406639004,2.577453962100197,
2023-26,2023-09-05,2023-09-05 09:35:00,240265,1,15471.5,22.0,STOP,-1.0340909090909092,-231.0,-0.10504774897680765,-110.0,-0.029940119760479042,0.5985302123026673,2.749812734082397,
2023-26,2023-09-06,2023-09-06 09:48:00,241658,-1,15475.25,11.75,STOP,-1.0638297872340425,-87.0,-0.09344790547798067,-7.0,-0.003109729009329187,0.4135939582407819,0.8355139840023755,
2023-26,2023-09-06,2023-09-06 09:57:00,241667,1,15491.75,9.0,STOP,-1.0833333333333333,-69.0,-0.09163346613545817,-26.0,-0.01668806161745828,0.4833119383825417,0.7597591007729256,
2023-26,2023-09-06,2023-09-06 10:26:00,241696,-1,15402.0,15.0,STOP,-1.05,42.0,0.07342657342657342,217.0,0.11929631665750412,0.31445849367784495,0.8144897685040074,
2023-26,2023-09-07,2023-09-07 09:50:00,243040,1,15214.25,17.25,STOP,-1.0434782608695652,-176.0,-0.1368584758942457,112.0,0.03107658157602664,0.3568257491675916,0.9573139958031185,
2023-26,2023-09-12,2023-09-12 09:49:00,247178,1,15627.0,10.5,TARGET,2.9285714285714284,-101.0,-0.19765166340508805,-101.0,-0.19765166340508805,1.0,0.7588858602451396,
2023-26,2023-09-12,2023-09-12 10:05:00,247194,1,15643.75,11.25,STOP,-1.0666666666666667,2.0,0.00390625,2.0,0.00390625,1.0,0.9496977488443338,
2023-26,2023-09-12,2023-09-12 10:16:00,247205,1,15646.25,10.75,STOP,-1.069767441860465,-6.0,-0.012658227848101266,-6.0,-0.012658227848101266,1.0,1.0943260791542955,
2023-26,2023-09-12,2023-09-12 10:18:00,247207,1,15647.5,8.0,STOP,-1.09375,26.0,0.12745098039215685,26.0,0.12745098039215685,1.0,0.5519170418883886,
2023-26,2023-09-13,2023-09-13 09:57:00,248566,1,15549.25,18.75,STOP,-1.04,-39.0,-0.026227303295225286,240.0,0.08391608391608392,0.51993006993007,1.085265434675369,
2023-26,2023-09-14,2023-09-14 09:30:00,249919,-1,15605.75,33.5,STOP,-1.0223880597014925,60.0,0.011746280344557557,176.0,0.02185249565433325,0.6342190216041719,7.515513460551485,
2023-26,2023-09-14,2023-09-14 09:39:00,249928,-1,15609.25,9.75,STOP,-1.0769230769230769,-154.0,-0.1206896551724138,-72.0,-0.03299725022914757,0.5847846012832264,0.8575190112200585,
